Patent,Cit_Date,Citation
6009555,1980-03-01,4192017
6009555,1985-10-01,4547903
6009555,1988-09-01,4768231
6009555,1990-08-01,4951316
6009555,1992-04-01,5105475
6009556,1976-09-01,3982547
6009556,1977-01-01,4004297
6009556,1981-11-01,4301545
6009556,1981-12-01,4306317
6009556,1987-01-01,4635640
6009556,1987-04-01,4656669
6009556,1989-03-01,4815145
6009556,1992-01-01,5083316
6009556,1992-11-01,5162015
6009557,1975-05-01,3881197
6009557,1978-02-01,4071913
6009557,1985-05-01,4519097
6009557,1988-06-01,4751747
6009557,1989-09-01,4864659
6009557,1989-11-01,4881276
6009557,1990-01-01,4894866
6009557,1991-01-01,4987611
6009557,1996-04-01,5511247
6009557,1996-06-01,5528772
6009557,1997-09-01,5661853
6009557,1997-10-01,5675839
6009557,1998-03-01,5732413
6009558,1983-06-01,4388075
6009558,1986-08-01,4606964
6009558,1987-02-01,4639949
6009558,1987-04-01,4657802
6009558,1988-01-01,4720415
6009558,1988-05-01,4747846
6009558,1989-01-01,4798603
6009558,1990-07-01,4938753
6009558,1990-07-01,4938754
6009558,1990-07-01,4938757
6009558,1990-07-01,4940464
6009558,1992-05-01,5114781
6009558,1992-05-01,5116662
6009558,1993-04-01,5204997
6009559,1981-01-01,4244059
6009559,1984-06-01,4455187
6009559,1985-04-01,4510193
6009559,1995-01-01,5383236
6009559,1996-07-01,5539930
6009559,1998-08-01,5790987
6009560,1978-07-01,4103060
6009560,1985-05-01,4517685
6009560,1988-07-01,4755407
6009560,1992-03-01,5095549
6009560,1993-05-01,5207852
6009560,1995-04-01,5406648
6009560,1997-12-01,5697101
6009560,1997-12-01,5701606
6009560,1999-01-01,5860163
6009561,1975-12-01,3925821
6009561,1976-01-01,3934271
6009561,1976-11-01,3991423
6009561,1976-11-01,3992722
6009561,1977-10-01,4054953
6009561,1977-11-01,4058854
6009561,1978-01-01,4068323
6009561,1978-04-01,4081865
6009561,1978-09-01,4115874
6009561,1979-02-01,4141085
6009561,1981-11-01,4300242
6009561,1984-05-01,4449275
6009561,1984-10-01,4477929
6009561,1985-05-01,4514864
6009561,1985-05-01,4519099
6009561,1985-08-01,4534068
6009561,1985-09-01,4538303
6009561,1985-12-01,4555816
6009561,1986-07-01,4599752
6009561,1986-09-01,4612675
6009561,1986-11-01,4622700
6009561,1986-12-01,4627115
6009561,1987-10-01,4698856
6009561,1987-10-01,4700411
6009561,1988-05-01,4744107
6009561,1988-08-01,4766614
6009561,1989-09-01,4865505
6009561,1989-11-01,4878792
6009561,1989-12-01,4884301
6009561,1991-02-01,4995117
6009561,1991-04-01,5010598
6009561,1991-10-01,5058212
6009561,1992-01-01,5083320
6009561,1992-01-01,5083321
6009561,1992-02-01,5086520
6009561,1992-03-01,5093937
6009561,1992-03-01,5093938
6009561,1992-03-01,5099523
6009561,1992-06-01,5119516
6009561,1992-07-01,5129108
6009561,1992-08-01,5136728
6009561,1992-12-01,5170510
6009561,1992-12-01,5170511
6009561,1993-05-01,5212843
6009561,1993-08-01,5231703
6009561,1993-12-01,5271102
6009561,1994-08-01,5333328
6009561,1994-08-01,5337421
6009561,1994-09-01,5345614
6009561,1995-02-01,5388277
6009561,1995-02-01,5388278
6009561,1995-09-01,5448780
6009561,1995-09-01,5450631
6009561,1996-04-01,5502843
6009561,1996-09-01,5551094
6009561,1996-12-01,5581819
